Function,StandardFunction
1. General public services - of which: international services,1. General public services - of which: international services
1. General public services - of which: public and common services,1. General public services - of which: public and common services
1. General public services - of which: public sector debt interest,1. General public services - of which: public sector debt interest
1. of which: international services,1. General public services - of which: international services
1. of which: public and common services,1. General public services - of which: public and common services
1. of which: Public Sector Debt Interest,1. General public services - of which: public sector debt interest
2. Defence,2. Defence
3. Public order and safety,3. Public order and safety
"4. Economic affairs - of which: agriculture, forestry, fishing and hunting","4. Economic affairs - of which: agriculture, forestry, fishing and hunting"
4. Economic affairs - of which: employment policies,4. Economic affairs - of which: employment policies
4. Economic affairs - of which: enterprise and economic development,4. Economic affairs - of which: enterprise and economic development
4. Economic affairs - of which: science and technology,4. Economic affairs - of which: science and technology
4. Economic affairs - of which: transport,4. Economic affairs - of which: transport
"4. of which: agriculture, fisheries and forestry","4. Economic affairs - of which: agriculture, forestry, fishing and hunting"
4. of which: employment policies,4. Economic affairs - of which: employment policies
4. of which: enterprise and economic development,4. Economic affairs - of which: enterprise and economic development
4. of which: science and technology,4. Economic affairs - of which: science and technology
4. of which: transport,4. Economic affairs - of which: transport
5. Environment protection,5. Environment protection
6. Housing and community amenities,6. Housing and community amenities
7. Health,7. Health
"8. Recreation, culture and religion","8. Recreation, culture and religion"
9. Education,9. Education
10. Social protection,10. Social protection
"Agriculture, fisheries and forestry","4. Economic affairs - of which: agriculture, forestry, fishing and hunting"
Debt interest,1. General public services - of which: public sector debt interest
Defence,2. Defence
Departmental unallocated provision,Departmental unallocated provision
Education and training,9. Education
Employment policies,4. Economic affairs - of which: employment policies
Enterprise and economic development,4. Economic affairs - of which: enterprise and economic development
Environment protection,5. Environment protection
EU transactions,EU transactions
General public services,1. General public services - of which: public sector debt interest
Health,7. Health
Housing and community amenities,6. Housing and community amenities
International services,1. General public services - of which: international services
Public order and safety,3. Public order and safety
"Recreation culture, and religion","8. Recreation, culture and religion"
Science and technology,4. Economic affairs - of which: science and technology
Social protection,10. Social protection
Total,Total
Transport,4. Economic affairs - of which: transport
Unallocated provision,Unallocated provision
